Hora;Day of din_instante;Measure Names;Avg. Val Geração FIXED Hora;Measure Values;;;
08:00;March 3, 2022;;6.031;;;;
09:00;March 3, 2022;;3.42;;;;
10:00;March 3, 2022;;3.814;;;;
11:00;March 3, 2022;;18.765;;;;
12:00;March 3, 2022;;29.348;;;;
13:00;March 3, 2022;;28.955;;;;
14:00;March 3, 2022;;47.986;;;;
15:00;March 3, 2022;;42.711;;;;
16:00;March 3, 2022;;58.577;;;;
17:00;March 3, 2022;;46.224;;;;
18:00;March 3, 2022;;42.102;;;;
19:00;March 3, 2022;;39.981;;;;
20:00;March 3, 2022;;43.211;;;;
21:00;March 3, 2022;;30.875;;;;
22:00;March 3, 2022;;4.823;;;;
23:00;March 3, 2022;;0.115;;;;
00:00;March 2, 2022;;0.672;;;;
01:00;March 2, 2022;;2.469;;;;
02:00;March 2, 2022;;1.809;;;;
03:00;March 2, 2022;;3.401;;;;
04:00;March 2, 2022;;2.368;;;;
05:00;March 2, 2022;;3.986;;;;
06:00;March 2, 2022;;14.352;;;;
07:00;March 2, 2022;;4.858;;;;
08:00;March 2, 2022;;0.045;;;;
09:00;March 2, 2022;;0.378;;;;
10:00;March 2, 2022;;1.57;;;;
11:00;March 2, 2022;;20.763;;;;
12:00;March 2, 2022;;16.465;;;;
13:00;March 2, 2022;;5.398;;;;
14:00;March 2, 2022;;45.422;;;;
15:00;March 2, 2022;;7.752;;;;
16:00;March 2, 2022;;41.868;;;;
17:00;March 2, 2022;;46.542;;;;
18:00;March 2, 2022;;53.815;;;;
19:00;March 2, 2022;;47.986;;;;
20:00;March 2, 2022;;24.517;;;;
21:00;March 2, 2022;;2.582;;;;
22:00;March 2, 2022;;0;;;;
23:00;March 2, 2022;;0.138;;;;
00:00;March 1, 2022;;0.967;;;;
01:00;March 1, 2022;;6.801;;;;
02:00;March 1, 2022;;9.781;;;;
03:00;March 1, 2022;;9.013;;;;
04:00;March 1, 2022;;6.304;;;;
05:00;March 1, 2022;;8.556;;;;
06:00;March 1, 2022;;7.419;;;;
07:00;March 1, 2022;;3.308;;;;
08:00;March 1, 2022;;3.565;;;;
09:00;March 1, 2022;;6.52;;;;
10:00;March 1, 2022;;34.719;;;;
11:00;March 1, 2022;;21.528;;;;
12:00;March 1, 2022;;45.391;;;;
13:00;March 1, 2022;;62.646;;;;
14:00;March 1, 2022;;53.266;;;;
15:00;March 1, 2022;;63.341;;;;
16:00;March 1, 2022;;68.755;;;;
17:00;March 1, 2022;;70.818;;;;
18:00;March 1, 2022;;73.122;;;;
19:00;March 1, 2022;;63.153;;;;
20:00;March 1, 2022;;54.488;;;;
21:00;March 1, 2022;;27.03;;;;
22:00;March 1, 2022;;6.463;;;;
23:00;March 1, 2022;;0;;;;
