Hora;Day of din_instante;Measure Names;Avg. Val Geraç‹o FIXED Hora;Measure Values;;
12:00;March 28, 2022;;77.27;;;
13:00;March 28, 2022;;95.27;;;
14:00;March 28, 2022;;105.178;;;
15:00;March 28, 2022;;67.075;;;
16:00;March 28, 2022;;22.147;;;
17:00;March 28, 2022;;18.274;;;
18:00;March 28, 2022;;0.893;;;
19:00;March 28, 2022;;0;;;
20:00;March 28, 2022;;0;;;
21:00;March 28, 2022;;0;;;
22:00;March 28, 2022;;0;;;
23:00;March 28, 2022;;0;;;
00:00;March 27, 2022;;0;;;
01:00;March 27, 2022;;0;;;
02:00;March 27, 2022;;0;;;
03:00;March 27, 2022;;0;;;
04:00;March 27, 2022;;0;;;
05:00;March 27, 2022;;0;;;
06:00;March 27, 2022;;0.072;;;
07:00;March 27, 2022;;6.581;;;
08:00;March 27, 2022;;23.803;;;
09:00;March 27, 2022;;31.522;;;
10:00;March 27, 2022;;34.819;;;
11:00;March 27, 2022;;52.243;;;
12:00;March 27, 2022;;63.187;;;
13:00;March 27, 2022;;77.472;;;
14:00;March 27, 2022;;68.011;;;
15:00;March 27, 2022;;49.478;;;
16:00;March 27, 2022;;16.445;;;
17:00;March 27, 2022;;21.686;;;
18:00;March 27, 2022;;0.086;;;
19:00;March 27, 2022;;0;;;
20:00;March 27, 2022;;0;;;
21:00;March 27, 2022;;0;;;
22:00;March 27, 2022;;0;;;
23:00;March 27, 2022;;0;;;
00:00;March 26, 2022;;0;;;
01:00;March 26, 2022;;0;;;
02:00;March 26, 2022;;0;;;
03:00;March 26, 2022;;0;;;
04:00;March 26, 2022;;0;;;
05:00;March 26, 2022;;0;;;
06:00;March 26, 2022;;0.446;;;
07:00;March 26, 2022;;12.312;;;
08:00;March 26, 2022;;53.741;;;
09:00;March 26, 2022;;83.707;;;
10:00;March 26, 2022;;86.141;;;
11:00;March 26, 2022;;81.792;;;
12:00;March 26, 2022;;103.133;;;
13:00;March 26, 2022;;94.594;;;
14:00;March 26, 2022;;66.542;;;
15:00;March 26, 2022;;55.541;;;
16:00;March 26, 2022;;37.699;;;
17:00;March 26, 2022;;13.982;;;
18:00;March 26, 2022;;0.922;;;
19:00;March 26, 2022;;0;;;
20:00;March 26, 2022;;0;;;
21:00;March 26, 2022;;0;;;
22:00;March 26, 2022;;0;;;
23:00;March 26, 2022;;0;;;
00:00;March 25, 2022;;0;;;
01:00;March 25, 2022;;0;;;
02:00;March 25, 2022;;0;;;
03:00;March 25, 2022;;0;;;
04:00;March 25, 2022;;0;;;
05:00;March 25, 2022;;0;;;
06:00;March 25, 2022;;0;;;
07:00;March 25, 2022;;4.464;;;
08:00;March 25, 2022;;21.773;;;
09:00;March 25, 2022;;53.179;;;
10:00;March 25, 2022;;36.101;;;
11:00;March 25, 2022;;74.477;;;
12:00;March 25, 2022;;70.402;;;
13:00;March 25, 2022;;70.459;;;
14:00;March 25, 2022;;83.621;;;
15:00;March 25, 2022;;48.442;;;
16:00;March 25, 2022;;23.904;;;
17:00;March 25, 2022;;6.898;;;
18:00;March 25, 2022;;0.043;;;
19:00;March 25, 2022;;0;;;
20:00;March 25, 2022;;0;;;
21:00;March 25, 2022;;0;;;
22:00;March 25, 2022;;0;;;
23:00;March 25, 2022;;0;;;
00:00;March 24, 2022;;0;;;
01:00;March 24, 2022;;0;;;
02:00;March 24, 2022;;0;;;
03:00;March 24, 2022;;0;;;
04:00;March 24, 2022;;0;;;
05:00;March 24, 2022;;0;;;
06:00;March 24, 2022;;1.469;;;
07:00;March 24, 2022;;24.091;;;
08:00;March 24, 2022;;64.066;;;
09:00;March 24, 2022;;97.2;;;
10:00;March 24, 2022;;118.656;;;
11:00;March 24, 2022;;128.419;;;
12:00;March 24, 2022;;83.578;;;
13:00;March 24, 2022;;107.093;;;
14:00;March 24, 2022;;82.742;;;
15:00;March 24, 2022;;48.557;;;
16:00;March 24, 2022;;26.77;;;
17:00;March 24, 2022;;8.222;;;
18:00;March 24, 2022;;0.432;;;
19:00;March 24, 2022;;0;;;
20:00;March 24, 2022;;0;;;
21:00;March 24, 2022;;0;;;
22:00;March 24, 2022;;0;;;
23:00;March 24, 2022;;0;;;
00:00;March 23, 2022;;0;;;
01:00;March 23, 2022;;0;;;
02:00;March 23, 2022;;0;;;
03:00;March 23, 2022;;0;;;
04:00;March 23, 2022;;0;;;
05:00;March 23, 2022;;0;;;
06:00;March 23, 2022;;1.022;;;
07:00;March 23, 2022;;29.419;;;
08:00;March 23, 2022;;65.534;;;
09:00;March 23, 2022;;99.72;;;
10:00;March 23, 2022;;122.674;;;
11:00;March 23, 2022;;134.093;;;
12:00;March 23, 2022;;135.821;;;
13:00;March 23, 2022;;118.714;;;
14:00;March 23, 2022;;106.56;;;
15:00;March 23, 2022;;86.947;;;
16:00;March 23, 2022;;48.571;;;
17:00;March 23, 2022;;22.752;;;
18:00;March 23, 2022;;0.518;;;
19:00;March 23, 2022;;0;;;
20:00;March 23, 2022;;0;;;
21:00;March 23, 2022;;0;;;
